Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Marineterrein,52.3728574,4.9145315,unofficial,0.9059,,,,6.0,8.8,2.2,3.65,3.9,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.9311,,,,4.8,12.4,2.4,3.4,5.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,40.0,260.0,0.5,3.1,17.5,6.15,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.5574,,,0.5,5.0,6.7,2.9,2.0,1.3,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.6114,,,0.5,4.35,6.65,2.9,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.8718,,,0.5,6.1,6.3,1.2,2.2,2.2,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,,,0.0,4.6,4.5,1.8,1.4,0.5,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.9545,,,0.5,5.65,9.4,2.3499999999999996,1.75,1.85,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.5978,70.0,375.0,0.5,4.6,9.9,8.2,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.8547,,,0.5,7.8,6.949999999999999,3.85,2.1,1.5,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.891,,,0.5,5.0,5.5,1.0,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.9247,,,,4.7,5.3,0.2,1.2,0.6,0.43
Ouderkerkerplas,52.2934374,4.9268533,official,0.84325,,,,4.8,12.4,2.4,3.4,5.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,130.0,310.0,25.0,3.1,17.5,6.15,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.5994,65.0,280.0,9.0,4.3,18.2,6.0,0.2,0.1,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.5719,45.0,105.0,3.8,5.8,18.0,6.8,0.4,0.3,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.8122,20.0,140.0,2.55,4.5,19.950000000000003,13.2,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,15.0,97.5,0.5,4.3,13.6,8.8,0.0,0.0,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,0.5994,,,0.5,5.0,6.7,2.9,2.0,1.3,0.07
Ouderkerkerplas,52.2934374,4.9268533,official,,,,0.5,6.1,6.3,1.2,2.2,2.2,0.07
