Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Normalized_Amenities_Score,Status
0.7717,7.888711232340853,71.06821253824793,12.868282811381853,1.1520120706835062,225.58976890635563,462.90906413892253,4.822802469814498,6.7,10.6,0.4,2.2,1.6,0.36,1
0.8126,8.049149262411838,71.44565041868078,12.892556989570018,1.1621210585736428,200.7975644094961,452.87568171703197,4.802427061335457,4.0,9.7,3.1,0.0,-0.1,0.36,1
0.5859,7.150523672617323,69.46302167974721,13.129392153284037,1.0415487013426894,233.68882460499003,486.04513924353523,4.835318305208418,7.6,12.0,1.4,7.7,18.9,0.36,1
0.7964,7.238458401496215,70.65945133863808,16.27842548792288,1.076640410202721,208.37991117751267,468.47058440929186,4.812909784323947,5.7,14.7,11.4,0.0,0.0,0.36,1
0.0,7.6,85.0,21.0,1.0,15.0,30.0,0.5,8.4,15.9,2.9,0.3,0.2,0.36,1
0.4215,8.145112912234406,77.03442551903122,14.2,1.0,30.0,20.0,4.565874091858251,4.8,7.8,6.8,0.5,0.2,0.36,1
0.6361,8.323037919152913,71.02339282606644,11.039634818150908,1.1103107849704479,195.14842427802273,491.2898683434032,4.810952970275033,5.8,8.3,7.0,0.0,0.0,0.36,1
0.0,8.029950937158201,69.08160002579561,10.509927147882415,0.977677611528371,184.52394233298924,542.2043495064986,4.819777707324599,8.2,8.8,0.8,2.3,10.9,0.36,1
0.4754,8.850502255754222,71.48293246637078,7.53327246554651,1.1595541695424991,196.6448664992106,513.8719837951053,4.818692945636799,4.8,4.5,7.5,1.8,1.4,0.36,1
0.5994,8.122321818996092,70.15615629142195,12.192026865352823,1.0517401826352266,211.20034469695452,495.9962167833469,4.824115376589446,10.1,10.3,0.9,0.2,0.1,0.36,1
0.8481,8.949981730364392,71.73335251347466,8.180291749299109,1.1567513634035738,188.62357973231724,482.61249796406673,4.803580318440374,4.6,4.3,8.2,0.0,0.0,0.36,1
0.0,8.000727220019169,70.57041201318361,9.699419514121587,1.1517688522611529,235.07920184826185,536.7723049267051,4.852056843996234,7.0,8.8,0.0,6.2,6.2,0.36,1
0.0,8.702064833237422,71.39821407123905,8.898745705929038,1.1793940512970913,173.62672463726608,515.3135294337667,4.802875105770265,1.8,5.5,0.4,0.0,0.0,0.36,1
0.9186,8.282845936020134,71.88784647409946,9.902024420268042,1.2421125583137673,254.6727501998896,462.7179272474168,4.84237726960938,6.9,7.6,0.0,5.6,2.6,0.36,1
0.0,7.636326350628999,70.72791520842004,10.425519058189032,1.1898164871012664,260.0580223446634,534.2345094629864,4.868096571079829,6.9,10.3,0.2,8.9,8.0,0.36,1
0.0,8.958491526676315,70.93444473640645,7.598883743866942,1.1314999531849637,177.32265806862029,533.9438095818891,4.811806852222203,4.9,4.5,0.0,0.0,0.0,0.36,1
0.6249,7.756878277983379,71.519511980306,12.26989961838752,1.211747240637763,231.61504194611484,467.2022445303551,4.827529192007617,3.8,10.1,2.0,4.6,4.6,0.36,1
0.6124,7.9940291650101925,71.15676207155111,12.517323801661668,1.143146220380519,205.26355153104146,477.08744558457056,4.813155041443659,4.9,10.0,4.3,0.8,0.3,0.36,1
0.4215,7.794867160006333,71.2134891202156,13.635071143615882,1.1542949536809033,192.65519143805682,476.0287242051281,4.803821327267717,2.6,11.0,3.9,0.0,-0.1,0.36,1
0.8834,4.2,41.0,12.9,0.5,555.2098935571123,283.28602330729063,4.979321138324887,4.5,10.8,6.3,2.7,3.6,0.36,1
0.4927,5.1,51.0,15.2,0.6,417.8485786573701,579.4626909524304,4.977281753937667,6.0,15.6,0.0,7.9,8.3,0.36,1
0.9686,9.7,120.0,26.4,4.0,-270.17326043343223,412.8016244569558,0.5,2.2,25.1,12.2,0.2,0.2,0.36,1
0.0,5.0,56.0,21.2,0.5,338.52890142546835,505.18276387905735,4.906221357048759,5.0,19.2,8.1,0.0,-0.1,0.36,1
0.906,6.51393171101132,70.6678880033924,19.9431980531185,1.0846894945384964,215.97615565854244,441.65046138981506,4.809488879968128,4.4,18.8,12.2,0.0,0.0,0.36,1
0.5994,6.517663190994783,70.3773763345816,19.545364176832607,1.0663807179332494,209.85689297171098,467.25138898012074,4.813291036643221,4.4,18.8,12.2,0.0,0.0,0.36,1
0.5719,6.336105778313742,70.15679004571369,20.41310380709313,1.0505912500825776,212.98015383751294,468.01957893330564,4.815773113883611,5.0,20.0,11.8,0.0,0.0,0.36,1
0.4215,7.416629244638098,71.05572945602091,15.410923908600111,1.1423118786248256,195.71715444553024,471.1252462821594,4.804359023377096,2.4,13.2,5.1,0.0,0.0,0.36,1
0.4215,10.9,96.0,9.8,0.8,40.74839703004477,300.4397997033784,4.661798234040694,3.7,7.6,2.1,0.0,-0.1,0.36,1
0.4754,7.107786625600172,70.69487336822192,16.456525241993667,1.0869998408502024,197.86534204436452,486.79773223439315,4.811039063578303,3.5,15.1,13.2,0.0,0.0,0.36,1
0.802,6.857392615210181,70.64467013531524,18.059334373921153,1.0764731935185363,210.05310391017179,461.17449701025043,4.811625347705404,4.8,16.8,13.2,0.0,0.0,0.36,1
0.8622,8.420991313029925,70.96731014410832,8.89059320174416,1.1205913167516783,233.30571876133695,499.11377335085353,4.8397465631737395,9.0,6.9,7.7,4.4,4.8,0.36,1
0.764,8.470176205200794,70.52098895229932,9.582574418780688,1.0914613314763777,232.77433085826146,499.38563502224224,4.839936617142194,11.3,7.7,1.1,2.9,2.2,0.36,1
0.6588,8.89444887781346,70.51855818586314,7.802204295992475,1.0600873829656816,204.25144031377727,520.2332386957924,4.826961557630796,10.2,5.3,5.9,1.0,1.4,0.36,1
0.1548,8.66443378596215,70.8958353336706,8.971070434860799,1.1158074498669261,181.61962959145762,526.501249067257,4.81249669063535,5.0,6.2,4.1,0.0,0.0,0.36,1
0.5859,8.296987147476667,71.39315367868866,8.740359548966488,1.2178339724131213,275.51261339625376,508.62973912727284,4.871416391010598,10.2,7.9,0.0,7.5,1.9,0.36,1
0.6361,7.3,61.0,7.7,0.6,383.3766166845123,232.3638501914411,4.856742031884472,2.4,4.5,2.0,1.2,0.9,0.36,1
0.8122,7.904490958362332,70.86252047444026,7.8849229095731985,1.1914165379339678,270.2951512186453,481.71372468141544,4.858404946190842,6.8,6.2,0.1,12.8,21.5,0.36,1
0.6243,7.9067777981826,70.68448021817952,7.641110171953791,1.18019599284548,266.5449572889145,497.40326902002744,4.860735100265369,6.8,6.2,0.1,12.8,21.5,0.36,1
0.0,8.832090215056638,70.60214764631421,7.645814820489342,1.0754934309044533,175.8631894522689,559.0312059960852,4.818968240291706,6.0,5.3,8.7,0.0,0.0,0.36,1
0.4404,7.24518056898699,70.9557404146289,16.108513647302487,1.1273345150015448,196.769181017022,473.46166839069974,4.805861015730321,2.5,14.2,7.7,0.0,0.0,0.36,1
0.5719,6.414071873025139,70.58628625447642,20.00470609556011,1.126361078390751,226.03238165746416,444.7302016034291,4.816991474144809,4.0,19.1,3.0,1.5,1.3,0.36,1
0.7717,5.963789898990839,71.82157806271417,24.8,1.0,90.0,410.0,4.717850302580631,2.7,24.6,8.5,0.0,0.0,0.36,1
0.4215,6.271314224825568,70.3007461925106,20.55042565397401,1.0687649889225508,206.89886214606872,472.45448469498297,4.812678375802921,3.3,20.1,12.3,0.0,0.0,0.36,1
0.4215,6.3256459488395285,70.08982524243471,20.32546402135585,1.0770465989998215,206.22592082039478,474.3444433318091,2.1,3.6,19.9,11.7,0.0,0.0,0.36,1
0.5244,6.861805112359157,76.47248651817256,19.72579628965979,1.096114303282425,15.0,20.0,4.556520534766628,3.0,17.8,0.0,0.1,0.1,0.36,1
