Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score,Status
0.5379820039170952,50.73187762103086,118.44764527982531,0.5,4.6,5.6,4.0,1.0,0.2,0.36,1
0.534377310041202,-6.662396618435935,-131.91325334207755,0.1788815071305262,5.449999999999999,1.5,6.4,0.0,0.0,0.36,1
0.5994,118.02456492624347,341.67585930345285,0.5,6.5,5.2,0.9,1.7,0.8,0.36,1
0.5303187781068432,174.2505691513498,444.1305964508449,2.1240418363938183,5.8,5.3,0.3,2.8,2.8,0.36,1
0.7783,17.5,45.0,0.5,3.7,14.35,4.9,0.75,0.5,0.36,1
0.6249,17.5,75.0,0.5,3.5,17.4,6.6,0.3,0.2,0.36,1
0.5426057566431478,20.0,50.0,0.5,4.45,9.05,7.15,0.35,0.05,0.36,1
0.0,28.539668128891506,21.20489131185893,0.732028830176323,3.8,1.3,2.3,0.3,0.1,0.36,1
0.9398,54.66923150667543,228.89826460193763,0.5,3.8,9.9,4.3,0.0,0.0,0.36,1
0.5288489861351119,200.0,390.0,0.55,3.1,17.5,6.15,0.0,0.0,0.29,1
0.9169,15.0,145.0,0.75,5.8,18.0,6.8,0.4,0.3,0.29,1
0.5569449854856556,25.0,220.0,1.2,4.5,19.950000000000003,13.2,0.0,0.0,0.29,1
0.5470979258463664,15.0,60.0,4.15,4.3,13.6,8.8,0.0,0.0,0.29,1
0.5474583145419916,40.0,160.0,0.9,3.4,14.45,7.3,1.75,2.8499999999999996,0.29,1
0.6361,17.5,80.0,0.9,3.4,19.8,9.0,0.0,0.0,0.29,1
0.4767,30.0,205.0,0.9,4.2,17.4,9.2,0.0,0.0,0.29,1
0.5994,17.5,80.0,0.7,4.15,16.799999999999997,10.95,0.0,0.0,0.29,1
0.5370690624316803,138.17851470580246,408.48246240866354,5.0,7.8,6.949999999999999,3.85,2.1,1.5,0.29,1
0.6369,75.2622052470073,276.61956533324167,0.5,5.0,5.5,1.0,0.0,0.0,0.29,1
0.5537102109423949,35.0,250.0,1.05,3.45,16.45,6.0,0.0,0.0,0.29,1
0.550698470065543,80.0,360.0,1.15,4.5,17.0,5.6,0.1,0.1,0.29,1
0.7351,20.0,300.0,0.5,3.55,17.85,8.149999999999999,0.0,0.0,0.29,1
0.5377047702290555,30.0,15.0,0.5,4.4,6.85,7.0,0.0,0.0,0.29,1
0.5411605529132367,48.373445656590604,165.050402925877,0.5,4.2,6.3,3.3,0.0,0.0,0.29,1
0.0,32.08380489034647,68.128187267204,0.5,5.15,5.25,5.2,0.0,0.0,0.29,1
0.7717,45.0,485.0,1.35,4.0,20.4,7.5,0.4,0.3,0.29,1
0.937,25.0,160.0,1.9,4.2,17.3,6.4,0.3,0.3,0.29,1
0.5427037465774036,45.0,90.0,0.5,4.5,13.6,11.7,0.0,0.0,0.29,1
0.5312681868865217,190.40729193448612,508.02817056120807,0.5,9.2,7.6,2.6,2.5,2.7,0.29,1
0.5378935370099721,110.0,210.0,1.7,3.8,18.1,8.4,0.0,0.0,0.29,1
0.7096,20.0,90.0,1.0,4.0,19.0,7.0,0.0,0.0,0.29,1
-0.6787,132.86287565425144,513.3468169224457,0.5,6.0,13.5,3.3,0.8,0.4,0.29,1
0.5426050491994135,20.0,50.0,0.5,4.45,9.05,7.15,0.35,0.05,0.29,1
0.9059,206.97828691816315,520.0425126442722,2.3574081229347383,6.0,8.8,2.2,3.65,3.9,0.43,0
0.9311,240.29127836775342,647.9392395618625,2.8119606523283727,4.8,12.4,2.4,3.4,5.0,0.43,0
0.553724586932063,40.0,260.0,0.5,3.1,17.5,6.15,0.0,0.0,0.43,0
0.5574,104.28922963915596,258.73670273623003,0.5,5.0,6.7,2.9,2.0,1.3,0.43,0
0.6114,53.86842787780158,194.7945586110817,0.5,4.35,6.65,2.9,0.0,0.0,0.43,0
0.8718,150.61340710796972,395.0760272420255,0.5,6.1,6.3,1.2,2.2,2.2,0.43,0
0.5356897562594101,74.91078329816084,183.548462031784,0.0,4.6,4.5,1.8,1.4,0.5,0.43,0
0.9545,142.86379940959014,426.1678073111965,0.5,5.65,9.4,2.3499999999999996,1.75,1.85,0.43,0
0.5978,70.0,375.0,0.5,4.6,9.9,8.2,0.0,0.0,0.43,0
0.8547,126.12917043052389,323.2586104222334,0.5,7.8,6.949999999999999,3.85,2.1,1.5,0.43,0
0.891,71.9167556112684,267.2791745621455,0.5,5.0,5.5,1.0,0.0,0.0,0.43,0
